0,1,2,3,4
199.0,49517.01953125,60576.328125,46763.88671875,69385.125
200.0,50036.9453125,60086.2734375,46756.5078125,68233.546875
201.0,49947.39453125,60110.25390625,46866.3828125,67308.4375
202.0,49695.61328125,60331.046875,46733.25390625,67290.203125
203.0,49905.140625,60488.19140625,46753.75,69551.2890625
204.0,49706.65234375,60192.90625,46770.2421875,68065.3203125
205.0,50307.9453125,60046.09765625,46732.76953125,67303.5859375
206.0,49834.08203125,61020.3359375,46731.41796875,68240.3125
207.0,49525.53515625,60581.94140625,46886.28125,67321.8203125
208.0,49775.578125,60919.05859375,46788.65234375,67294.7578125
209.0,50981.47265625,60575.81640625,46731.5234375,67690.921875
210.0,49636.71484375,60897.88671875,46878.25390625,67313.2890625
211.0,91609.3828125,60071.09765625,46927.8359375,68512.0625
212.0,49911.13671875,60175.3046875,47090.9765625,67491.21875
213.0,49551.76171875,60088.0625,46733.06640625,69316.59375
214.0,49599.73046875,60129.26171875,46745.9375,67294.7578125
215.0,49574.84765625,60143.9296875,46897.15234375,68627.2109375
216.0,50645.46484375,60075.81640625,46766.99609375,69385.125
217.0,49895.27734375,60580.91796875,47544.02734375,67303.140625
218.0,50143.75390625,60070.45703125,47007.08203125,78024.5
219.0,49672.1328125,60047.24609375,46732.76953125,68400.6015625
220.0,49989.53515625,60170.83984375,46995.18359375,68388.6875
221.0,49615.92578125,60088.0625,46812.796875,67312.9921875
222.0,49819.12109375,60052.21875,46927.8359375,67398.4296875
223.0,50204.2734375,61202.22265625,46736.1484375,67223.5859375
224.0,49600.01171875,60302.4765625,46815.203125,67888.265625
225.0,49636.71484375,60108.46875,47014.9765625,67261.671875
226.0,49581.0703125,60046.60546875,46783.83984375,67398.4296875
227.0,50247.984375,60166.6328125,46732.87890625,67261.671875
228.0,49577.8203125,60130.91796875,46828.9921875,67669.3046875
229.0,49658.515625,60152.47265625,46773.8359375,67414.1640625
230.0,49636.4921875,60741.5078125,46763.88671875,67069.4765625
231.0,49641.92578125,60129.26171875,46780.3515625,67069.4765625
232.0,49927.1640625,60171.60546875,46749.55859375,67134.765625
233.0,49850.7265625,60060.25390625,46733.25390625,67414.1640625
234.0,49577.8203125,60141.88671875,46747.015625,69355.125
235.0,50063.39453125,60142.26953125,46795.140625,67344.609375
236.0,49630.3828125,60125.3046875,46771.40234375,67261.671875
237.0,49649.7734375,60246.60546875,46734.7421875,67691.21875
238.0,49562.96875,60594.3125,46775.02734375,67264.7578125
239.0,49785.44140625,60225.81640625,46777.109375,67797.828125
240.0,49819.2890625,60188.1875,46815.6640625,67525.78125
241.0,80580.265625,60130.7890625,46901.9375,67039.625
242.0,49562.9140625,60600.30859375,46869.8984375,67261.671875
243.0,50713.328125,60330.53515625,46775.02734375,67414.1640625
244.0,49722.51171875,60103.49609375,47067.18359375,67316.671875
245.0,50131.53515625,60104.8984375,46860.41015625,68563.2421875
246.0,49972.72265625,60118.80078125,47456.05078125,67321.8203125
247.0,49695.61328125,60045.203125,46916.69921875,67813.265625
248.0,49621.08203125,60052.21875,46765.96875,67134.03125
249.0,49621.69921875,60088.0625,46869.8984375,67814.0078125
250.0,50720.22265625,60184.87109375,46757.29296875,67458.7265625
251.0,49744.703125,61179.390625,46733.984375,67698.859375
252.0,49785.44140625,60638.69921875,46747.015625,67909.4453125
253.0,51177.328125,60273.39453125,46776.8125,67039.625
254.0,49658.515625,60187.16796875,46732.25390625,67503.1328125
255.0,50094.6640625,60214.3359375,50043.62890625,67520.046875
256.0,49636.71484375,60046.09765625,46780.3515625,67344.171875
257.0,49819.12109375,60330.53515625,46783.83984375,67308.4375
258.0,49672.01953125,60181.68359375,46732.87890625,67321.8203125
259.0,49658.515625,60167.3984375,46767.91796875,67398.4296875
260.0,49785.44140625,60130.91796875,46757.29296875,67159.765625
261.0,49988.078125,60141.88671875,47005.40625,67308.4375
262.0,49789.703125,60094.94921875,46733.95703125,67426.375
263.0,50211.11328125,60052.34765625,46731.09375,68175.4609375
264.0,49576.53125,60310.25390625,46995.18359375,67810.1796875
265.0,49902.73046875,60443.41796875,46777.6484375,67502.8359375
266.0,49514.10546875,60676.7109375,46775.37890625,71564.6015625
267.0,51135.1328125,60122.5,46771.80859375,67532.25
268.0,49655.0390625,60167.3984375,46848.86328125,67206.96875
269.0,49634.921875,75327.1484375,46906.640625,67134.03125
270.0,50350.19921875,60119.56640625,46733.09375,67710.0390625
271.0,50012.6796875,60206.8125,46753.75,67295.0546875
272.0,49600.01171875,60206.8125,46848.86328125,67136.6796875
273.0,49785.44140625,60121.734375,46763.88671875,67088.4453125
274.0,49598.328125,60046.09765625,46877.84765625,67102.5625
275.0,49543.46875,60395.96875,46866.3828125,67223.5859375
276.0,49927.1640625,60093.1640625,46866.76171875,67136.6796875
277.0,50448.546875,60182.578125,46777.62109375,67209.6171875
278.0,50031.67578125,62904.3984375,46772.80859375,67102.5625
279.0,49515.50390625,60182.578125,46749.55859375,67254.171875
280.0,49658.515625,60548.6484375,46884.2265625,67398.578125
281.0,49615.92578125,60730.28125,46898.98828125,67797.828125
282.0,49990.48828125,60094.94921875,46731.71484375,67060.5
283.0,49569.24609375,60284.6171875,47013.9765625,67657.8359375
284.0,49952.88671875,60102.34765625,46777.8671875,67367.84375
285.0,49775.578125,60328.62109375,46742.9609375,67298.875
286.0,49711.19140625,60196.60546875,46855.4609375,67036.828125
287.0,49695.61328125,60330.53515625,46866.3828125,67136.6796875
288.0,49972.72265625,60044.4375,47325.13671875,69222.3359375
289.0,51040.48046875,60187.16796875,46757.29296875,69442.1796875
290.0,52517.43359375,60142.26953125,46753.75,69222.3359375
291.0,50626.6953125,60214.3359375,46828.9921875,67112.8515625
292.0,49724.640625,60127.08984375,46766.94140625,67292.9921875
293.0,49636.71484375,60229.1328125,46902.640625,67113.296875
294.0,49736.51953125,60488.19140625,46753.75,67306.0859375
295.0,50337.25390625,60192.90625,46768.0234375,67194.3203125
296.0,49551.76171875,60312.8046875,46777.40625,67503.1328125
297.0,49890.796875,60155.91796875,46776.91796875,67131.0859375
298.0,49937.140625,60103.23828125,46733.25390625,68032.96875
299.0,49842.76953125,60071.09765625,46757.29296875,67070.6484375
300.0,50337.25390625,60430.79296875,46768.0234375,67464.3125
301.0,49780.0625,60118.2890625,46745.9375,67134.03125
302.0,49667.08984375,60103.49609375,46745.9375,67244.7578125
303.0,49648.1484375,60103.49609375,46776.8125,67258.734375
304.0,49634.921875,60053.62109375,46749.55859375,67039.625
305.0,49881.99609375,60346.734375,46733.95703125,68279.8671875
306.0,49658.515625,60093.1640625,47161.1875,67198.5859375
307.0,50143.75390625,60140.99609375,46731.7421875,67812.828125
308.0,49880.59765625,60461.40234375,46745.80078125,67213.734375
309.0,50376.984375,60093.1640625,46848.86328125,67113.296875
310.0,49785.44140625,60042.26953125,46734.7421875,67820.328125
311.0,49544.8671875,60467.3984375,46848.86328125,69177.484375
312.0,49682.4453125,60187.16796875,46766.94140625,67321.8203125
313.0,49561.9609375,60124.28515625,46772.80859375,67848.4140625
314.0,49530.859375,60047.24609375,47205.52734375,67282.109375
315.0,49842.76953125,60229.1328125,46995.18359375,67930.03125
316.0,49631.953125,60182.578125,46999.56640625,67306.0859375
317.0,49533.2109375,60103.23828125,46755.640625,67502.8359375
318.0,49868.37890625,60045.33203125,46995.18359375,67620.921875
319.0,50727.00390625,60155.91796875,46735.0390625,68279.8671875
320.0,49634.921875,60103.49609375,47142.453125,67559.3046875
321.0,49634.921875,60310.25390625,46772.80859375,68687.796875
322.0,49533.2109375,60234.87109375,46811.76953125,67113.296875
323.0,49785.44140625,60187.16796875,46937.8671875,67109.46875
324.0,50361.6328125,60052.34765625,46747.015625,67888.265625
325.0,49641.92578125,60042.90625,46739.93359375,67218.8828125
326.0,49561.9609375,60172.24609375,46878.359375,67239.46875
327.0,49643.046875,60102.34765625,46812.796875,67348.875
328.0,49932.09375,60058.72265625,46776.703125,67503.1328125
329.0,50307.9453125,62075.05859375,50194.51953125,67244.7578125
330.0,51223.671875,60279.515625,46763.88671875,67075.2109375
331.0,49569.24609375,60521.3515625,46865.5703125,67136.6796875
332.0,50014.19140625,60292.26953125,46808.55078125,67473.578125
333.0,50031.67578125,60050.05078125,46756.5078125,67081.9765625
334.0,49636.71484375,60130.91796875,46746.234375,67290.3515625
