0,1,2
444.0,24360.0,43754.35546875
445.0,24758.603515625,39432.3046875
446.0,24404.52734375,34635.68359375
447.0,24380.7890625,34616.46484375
448.0,24450.056640625,34093.703125
449.0,24847.130859375,34295.05078125
450.0,24431.16015625,39771.26171875
451.0,24738.705078125,33833.05859375
452.0,24356.466796875,33982.15234375
453.0,24358.13671875,33810.1015625
454.0,24730.71875,33891.4765625
455.0,24412.5703125,34644.36328125
456.0,25124.98046875,34103.6015625
457.0,24632.98046875,35557.953125
458.0,25027.576171875,35344.1328125
459.0,24380.7890625,34219.01953125
460.0,24411.65234375,34979.76171875
461.0,25456.34765625,33848.9375
462.0,29433.82421875,35322.9296875
463.0,25264.740234375,34655.3203125
464.0,24437.3671875,33880.90234375
465.0,24398.2109375,36083.578125
466.0,24555.3359375,36178.71875
467.0,24505.326171875,34298.16796875
468.0,25188.0703125,34419.0
469.0,24736.201171875,34108.25
470.0,26526.396484375,34342.9140625
471.0,24575.875,34245.984375
472.0,24464.25,35677.76171875
473.0,25155.314453125,38521.796875
474.0,24467.005859375,35080.31640625
475.0,24843.01171875,40853.4921875
476.0,24416.16015625,34849.35546875
477.0,24376.169921875,34847.60546875
478.0,25323.990234375,36776.40234375
479.0,24545.095703125,34780.7109375
480.0,24464.25,34835.0625
481.0,24430.326171875,35261.28125
482.0,24586.6171875,39432.3046875
483.0,24382.431640625,34079.37109375
484.0,24932.845703125,37808.56640625
485.0,24508.693359375,34008.8984375
486.0,24734.78125,38916.10546875
487.0,24559.7890625,33848.9375
488.0,24734.78125,35891.1484375
489.0,24687.220703125,38592.12109375
490.0,24426.15234375,34201.84375
491.0,25655.49609375,33949.93359375
492.0,24488.240234375,33880.90234375
493.0,24410.373046875,36001.8203125
494.0,24708.984375,34739.265625
495.0,25236.298828125,34366.65234375
496.0,24563.76953125,36700.953125
497.0,24364.287109375,33912.5
498.0,24827.12109375,33937.60546875
499.0,24374.193359375,42544.8359375
500.0,24844.1796875,35578.921875
501.0,25026.630859375,35672.93359375
502.0,24361.36328125,34165.375
